dive,height,description,degree_of_difficulty,ignore1,ignore2,ignore3,ignore4,ignore5,ignore6
105B,5M,Forward 2 1/2 Somersault Pike,2.60,43.56,63.70,689,43.76,70.20,4260,
105B,7M,Forward 2 1/2 Somersault Pike,2.40,42.07,64.80,999,41.99,68.40,6845,
105B,10M,Forward 2 1/2 Somersault Pike,2.30,43.05,59.80,32,41.93,65.55,291,
105C,1M,Forward 2 1/2 Somersault Tuck,2.40,37.23,61.20,4885,36.73,67.20,35470,
105C,3M,Forward 2 1/2 Somersault Tuck,2.20,33.56,55.50,2517,32.95,71.50,20400,
105C,5M,Forward 2 1/2 Somersault Tuck,2.40,36.33,58.80,891,35.92,63.60,6019,
105C,7M,Forward 2 1/2 Somersault Tuck,2.20,38.62,53.90,27,35.96,58.30,269,
105C,10M,Forward 2 1/2 Somersault Tuck,2.10,33.60,45.15,2,39.39,56.70,10,
106B,1M,Forward 3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0,
106B,3M,Forward 3 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0,
106B,5M,Forward 3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0,
106B,7M,Forward 3 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0,
106B,10M,Forward 3 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0,
106C,1M,Forward 3 Somersault Tuck,2.90,38.72,52.20,10,40.32,55.10,50,
106C,3M,Forward 3 Somersault Tuck,2.50,0.00,0.00,0,51.88,61.25,2,
106C,5M,Forward 3 Somersault Tuck,2.90,0.00,0.00,0,0.00,0.00,0,
106C,7M,Forward 3 Somersault Tuck,2.50,0.00,0.00,0,0.00,0.00,0,
106C,10M,Forward 3 Somersault Tuck,2.70,0.00,0.00,0,0.00,0.00,0,
107B,1M,Forward 3 1/2 Somersault Pike,3.30,57.68,75.90,33,55.84,87.45,125,
107B,3M,Forward 3 1/2 Somersault Pike,3.10,57.51,93.00,2168,58.42,93.00,15137,
107B,7M,Forward 3 1/2 Somersault Pike,3.10,0.00,0.00,0,54.84,69.75,12,
107B,10M,Forward 3 1/2 Somersault Pike,3.00,57.12,90.00,1148,57.74,90.00,9534,
107C,1M,Forward 3 1/2 Somersault Tuck,3.00,51.36,82.50,787,51.78,85.50,4562,
107C,3M,Forward 3 1/2 Somersault Tuck,2.80,45.24,75.60,2693,44.45,82.60,17808,
107C,5M,Forward 3 1/2 Somersault Tuck,3.00,0.00,0.00,0,58.50,60.00,2,
107C,7M,Forward 3 1/2 Somersault Tuck,2.80,51.27,74.20,77,49.28,75.60,440,
107C,10M,Forward 3 1/2 Somersault Tuck,2.70,47.45,70.20,400,46.91,79.65,3801,
108B,3M,Forward 4 Somersault Pike,3.80,0.00,0.00,0,0.00,0.00,0,
108B,10M,Forward 4 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0,
108C,1M,Forward 4 Somersault Tuck,4.00,0.00,0.00,0,0.00,0.00,0,
108C,3M,Forward 4 Somersault Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
108C,10M,Forward 4 Somersault Tuck,3.70,0.00,0.00,0,0.00,0.00,0,
109B,3M,Forward 4 1/2 Somersault Pike,4.20,0.00,0.00,0,27.30,35.70,2,
109B,10M,Forward 4 1/2 Somersault Pike,4.10,32.80,32.80,1,78.67,110.70,8,
109C,1M,Forward 4 1/2 Somersault Tuck,4.30,0.00,0.00,0,0.00,0.00,0,
109C,3M,Forward 4 1/2 Somersault Tuck,3.80,66.99,104.50,227,67.68,108.30,927,
109C,10M,Forward 4 1/2 Somersault Tuck,3.70,67.38,98.05,121,71.90,111.00,777,
112B,1M,Forward Flying 1 Somersault Pike,1.70,0.00,0.00,0,24.65,24.65,1,
112B,3M,Forward Flying 1 Somersault Pike,1.80,0.00,0.00,0,35.10,43.20,3,
112B,5M,Forward Flying 1 Somersault Pike,1.70,0.00,0.00,0,24.65,24.65,1,
112B,7M,Forward Flying 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0,
112B,10M,Forward Flying 1 Somersault Pike,1.90,0.00,0.00,0,33.99,50.35,4,
112C,1M,Forward Flying 1 Somersault Tuck,1.60,4.80,9.60,2,20.40,45.60,12,
112C,3M,Forward Flying 1 Somersault Tuck,1.70,38.25,38.25,1,28.95,42.50,9,
112C,5M,Forward Flying 1 Somersault Tuck,1.60,28.40,29.60,2,32.00,36.00,5,
112C,7M,Forward Flying 1 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
112C,10M,Forward Flying 1 Somersault Tuck,1.80,34.73,46.20,8,39.60,49.20,27,
113B,1M,Forward Flying 1 1/2 Somersault Pike,1.90,35.69,42.75,7,35.00,50.35,45,
113B,3M,Forward Flying 1 1/2 Somersault Pike,1.80,37.83,45.60,10,36.11,46.80,102,
113B,5M,Forward Flying 1 1/2 Somersault Pike,1.90,0.00,0.00,0,39.37,47.50,8,
113B,7M,Forward Flying 1 1/2 Somersault Pike,1.80,0.00,0.00,0,37.20,41.40,6,
113B,10M,Forward Flying 1 1/2 Somersault Pike,1.80,34.43,48.60,4,38.44,48.60,24,
113C,1M,Forward Flying 1 1/2 Somersault Tuck,1.80,36.45,36.90,2,31.65,42.30,12,
113C,3M,Forward Flying 1 1/2 Somersault Tuck,1.70,35.43,39.95,5,28.22,43.35,12,
113C,5M,Forward Flying 1 1/2 Somersault Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
113C,7M,Forward Flying 1 1/2 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
113C,10M,Forward Flying 1 1/2 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
114B,5M,Forward Flying 2 Somersault Pike,2.50,0.00,0.00,0,0.00,0.00,0,
114B,7M,Forward Flying 2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
114B,10M,Forward Flying 2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0,
114C,5M,Forward Flying 2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0,
114C,7M,Forward Flying 2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0,
114C,10M,Forward Flying 2 Somersault Tuck,2.30,0.00,0.00,0,0.00,0.00,0,
115B,3M,Forward Flying 2 1/2 Somersault Pike,2.70,0.00,0.00,0,0.00,0.00,0,
115B,10M,Forward Flying 2 1/2 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0,
115C,3M,Forward Flying 2 1/2 Somersault Tuck,2.50,0.00,0.00,0,29.38,35.00,2,
115C,7M,Forward Flying 2 1/2 Somersault Tuck,2.50,0.00,0.00,0,0.00,0.00,0,
115C,10M,Forward Flying 2 1/2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0,
200A,1M,Back Jump Straight,1.00,16.95,26.50,1820,16.88,27.00,15692,
200A,3M,Back Jump Straight,1.00,16.54,26.50,1642,16.50,37.20,13584,
200A,5M,Back Jump Straight,1.00,17.49,24.00,62,16.52,25.50,781,
200A,7M,Back Jump Straight,1.00,17.50,21.00,3,17.28,23.00,18,
200A,10M,Back Jump Straight,1.00,18.50,18.50,1,18.14,37.20,10,
200B,1M,Back Jump Pike,1.00,17.48,25.00,349,17.14,25.00,1412,
200B,3M,Back Jump Pike,1.00,16.79,24.50,229,17.06,26.50,1001,
200B,5M,Back Jump Pike,1.00,16.31,19.00,8,16.69,22.00,31,
200B,7M,Back Jump Pike,1.00,13.50,13.50,1,13.50,13.50,1,
200B,10M,Back Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
200C,1M,Back Jump Tuck,1.00,17.12,24.00,786,16.89,37.05,5448,
200C,3M,Back Jump Tuck,1.00,16.54,26.00,770,16.57,33.60,5054,
200C,5M,Back Jump Tuck,1.00,18.00,24.00,22,17.06,28.50,198,
200C,7M,Back Jump Tuck,1.00,19.17,20.00,3,17.71,21.50,14,
200C,10M,Back Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
200D,1M,Back Jump Free,1.00,18.50,21.00,7,18.81,30.00,54,
200D,3M,Back Jump Free,1.00,16.03,21.50,15,19.12,29.00,53,
200D,5M,Back Jump Free,1.00,16.67,18.50,3,17.08,19.50,6,
200D,7M,Back Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
200D,10M,Back Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
201A,1M,Back Dive Straight,1.70,25.14,51.00,2579,25.21,57.00,20785,
201A,3M,Back Dive Straight,1.90,30.08,51.30,674,29.87,54.15,6109,
201A,5M,Back Dive Straight,1.70,28.37,40.80,39,28.19,45.05,234,
201A,7M,Back Dive Straight,1.90,35.47,37.05,3,30.64,42.75,8,
201A,10M,Back Dive Straight,1.90,0.00,0.00,0,31.83,42.75,6,
201B,1M,Back Dive Pike,1.60,29.15,52.80,6263,28.40,54.60,53250,
201B,3M,Back Dive Pike,1.80,33.30,54.60,5773,32.61,65.00,48100,
201B,5M,Back Dive Pike,1.60,28.49,48.00,542,27.59,48.00,3362,
201B,7M,Back Dive Pike,1.80,33.11,45.90,164,33.27,51.30,871,
201B,10M,Back Dive Pike,1.80,40.09,58.20,170,40.31,58.20,932,
201C,1M,Back Dive Tuck,1.50,24.07,45.00,4483,23.46,49.00,35532,
201C,3M,Back Dive Tuck,1.70,27.58,47.00,3212,26.93,61.00,25785,
201C,5M,Back Dive Tuck,1.50,25.21,45.60,811,24.49,45.60,5165,
201C,7M,Back Dive Tuck,1.70,29.11,35.70,12,29.84,45.90,210,
201C,10M,Back Dive Tuck,1.70,38.25,38.25,1,35.85,55.20,48,
202A,1M,Back 1 Somersault Straight,1.70,25.04,42.50,1066,24.79,44.40,6877,
202A,3M,Back 1 Somersault Straight,1.80,26.35,45.90,267,25.24,50.40,2282,
202A,5M,Back 1 Somersault Straight,1.70,25.52,36.55,45,24.49,41.65,243,
202A,7M,Back 1 Somersault Straight,1.80,0.00,0.00,0,37.71,48.60,19,
202A,10M,Back 1 Somersault Straight,1.90,38.95,47.50,5,36.13,48.45,34,
202B,1M,Back 1 Somersault Pike,1.60,22.15,36.00,165,22.35,39.10,1336,
202B,3M,Back 1 Somersault Pike,1.70,25.29,35.70,29,22.96,35.70,222,
202B,5M,Back 1 Somersault Pike,1.60,31.60,34.40,2,24.06,34.40,14,
202B,7M,Back 1 Somersault Pike,1.70,0.00,0.00,0,0.00,0.00,1,
202B,10M,Back 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0,
202C,1M,Back 1 Somersault Tuck,1.50,20.60,36.00,1668,20.29,41.40,12052,
202C,3M,Back 1 Somersault Tuck,1.60,21.83,33.60,283,21.29,38.40,2147,
202C,5M,Back 1 Somersault Tuck,1.50,25.83,36.00,36,21.52,39.00,123,
202C,7M,Back 1 Somersault Tuck,1.60,0.00,0.00,0,36.67,43.20,6,
202C,10M,Back 1 Somersault Tuck,1.70,0.00,0.00,0,32.61,40.80,23,
203A,1M,Back 1 1/2 Somersault Straight,2.50,36.97,52.50,69,38.17,61.88,493,
203A,3M,Back 1 1/2 Somersault Straight,2.40,37.25,60.00,1219,36.02,63.60,10595,
203A,5M,Back 1 1/2 Somersault Straight,2.50,34.04,45.00,15,34.24,55.00,59,
203A,7M,Back 1 1/2 Somersault Straight,2.40,35.45,50.40,11,38.40,55.20,136,
203A,10M,Back 1 1/2 Somersault Straight,2.40,0.00,0.00,0,39.94,45.60,7,
203B,1M,Back 1 1/2 Somersault Pike,2.30,39.26,62.10,8166,38.36,66.70,60208,
203B,3M,Back 1 1/2 Somersault Pike,2.20,33.14,55.00,1119,32.25,55.00,8104,
203B,5M,Back 1 1/2 Somersault Pike,2.30,37.23,56.35,844,36.80,58.65,4868,
203B,7M,Back 1 1/2 Somersault Pike,2.20,0.00,0.00,0,39.60,39.60,1,
203B,10M,Back 1 1/2 Somersault Pike,2.20,0.00,0.00,0,37.40,46.20,3,
203C,1M,Back 1 1/2 Somersault Tuck,2.00,29.29,53.00,4624,28.46,53.00,35902,
203C,3M,Back 1 1/2 Somersault Tuck,1.90,28.10,50.35,1098,27.00,51.30,6756,
203C,5M,Back 1 1/2 Somersault Tuck,2.00,31.01,47.00,217,30.69,54.00,1264,
203C,7M,Back 1 1/2 Somersault Tuck,1.90,0.00,0.00,0,18.05,18.05,1,
203C,10M,Back 1 1/2 Somersault Tuck,1.90,31.35,31.35,1,31.35,31.35,1,
204A,3M,Back 2 Somersault Straight,2.50,37.75,45.00,5,37.58,52.50,15,
204A,7M,Back 2 Somersault Straight,2.50,0.00,0.00,0,0.00,0.00,0,
204A,10M,Back 2 Somersault Straight,2.60,0.00,0.00,0,0.00,0.00,0,
204B,1M,Back 2 Somersault Pike,2.50,36.19,57.50,41,36.29,57.50,202,
204B,3M,Back 2 Somersault Pike,2.30,30.99,40.25,16,35.26,55.89,68,
204B,5M,Back 2 Somersault Pike,2.50,40.00,40.00,1,35.03,41.25,15,
204B,7M,Back 2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
204B,10M,Back 2 Somersault Pike,2.40,0.00,0.00,0,22.32,22.32,2,
204C,1M,Back 2 Somersault Tuck,2.20,28.00,59.40,393,28.40,66.00,1897,
204C,3M,Back 2 Somersault Tuck,2.00,28.28,43.00,50,27.91,48.00,362,
204C,5M,Back 2 Somersault Tuck,2.20,31.02,44.00,5,32.26,49.50,37,
204C,7M,Back 2 Somersault Tuck,2.00,0.00,0.00,0,37.33,45.00,3,
204C,10M,Back 2 Somersault Tuck,2.10,33.95,49.35,3,34.86,49.35,5,
205A,10M,Back 2 1/2 Somersault Straight,3.30,0.00,0.00,0,0.00,0.00,0,
205B,1M,Back 2 1/2 Somersault Pike,3.20,53.33,62.40,3,43.62,76.80,38,
205B,3M,Back 2 1/2 Somersault Pike,3.00,51.63,84.00,3269,51.88,90.00,23419,
205B,5M,Back 2 1/2 Somersault Pike,3.20,64.23,75.20,7,54.48,86.40,90,
205B,7M,Back 2 1/2 Somersault Pike,3.00,47.79,69.00,51,48.57,75.00,259,
205B,10M,Back 2 1/2 Somersault Pike,2.90,50.29,84.10,422,49.69,87.00,3905,
205C,1M,Back 2 1/2 Somersault Tuck,3.00,48.23,78.00,1240,47.85,87.75,8357,
205C,3M,Back 2 1/2 Somersault Tuck,2.80,43.17,74.20,5592,42.40,79.80,40712,
205C,5M,Back 2 1/2 Somersault Tuck,3.00,47.12,76.50,706,46.98,87.00,4906,
205C,7M,Back 2 1/2 Somersault Tuck,2.80,45.37,75.60,189,44.36,75.60,1365,
205C,10M,Back 2 1/2 Somersault Tuck,2.70,45.68,54.00,3,46.60,60.75,30,
206B,1M,Back 3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0,
206B,3M,Back 3 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0,
206B,5M,Back 3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0,
206B,7M,Back 3 Somersault Pike,2.80,0.00,0.00,0,59.08,69.72,3,
206B,10M,Back 3 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0,
206C,1M,Back 3 Somersault Tuck,2.90,0.00,0.00,0,32.63,32.63,1,
206C,3M,Back 3 Somersault Tuck,2.50,0.00,0.00,0,39.17,41.25,3,
206C,5M,Back 3 Somersault Tuck,2.90,0.00,0.00,0,0.00,0.00,0,
206C,7M,Back 3 Somersault Tuck,2.50,0.00,0.00,0,33.75,33.75,1,
206C,10M,Back 3 Somersault Tuck,2.70,0.00,0.00,0,0.00,0.00,0,
207B,3M,Back 3 1/2 Somersault Pike,3.90,0.00,0.00,0,0.00,0.00,0,
207B,10M,Back 3 1/2 Somersault Pike,3.60,58.76,90.00,50,72.62,108.00,643,
207C,3M,Back 3 1/2 Somersault Tuck,3.60,60.09,99.00,67,56.38,99.00,341,
207C,7M,Back 3 1/2 Somersault Tuck,3.50,0.00,0.00,0,54.70,73.10,4,
207C,10M,Back 3 1/2 Somersault Tuck,3.30,58.02,99.00,569,59.76,99.00,4934,
208B,3M,Back 4 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0,
208B,5M,Back 4 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0,
208B,7M,Back 4 Somersault Pike,4.20,0.00,0.00,0,0.00,0.00,0,
208B,10M,Back 4 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0,
208C,3M,Back 4 Somersault Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
208C,5M,Back 4 Somersault Tuck,4.10,0.00,0.00,0,0.00,0.00,0,
208C,7M,Back 4 Somersault Tuck,3.90,0.00,0.00,0,0.00,0.00,0,
208C,10M,Back 4 Somersault Tuck,3.80,0.00,0.00,0,0.00,0.00,0,
209B,3M,Back 4 1/2 Somersault Pike,4.70,0.00,0.00,0,0.00,0.00,0,
209B,10M,Back 4 1/2 Somersault Pike,4.50,0.00,0.00,0,0.00,0.00,2,
209C,3M,Back 4 1/2 Somersault Tuck,4.40,0.00,0.00,0,0.00,0.00,0,
209C,10M,Back 4 1/2 Somersault Tuck,4.20,0.00,0.00,0,0.00,0.00,0,
212B,1M,Back Flying 1 Somersault Pike,1.70,25.50,29.75,3,25.22,38.25,15,
212B,3M,Back Flying 1 Somersault Pike,1.80,0.00,0.00,0,32.36,44.10,10,
212B,5M,Back Flying 1 Somersault Pike,1.70,0.00,0.00,0,25.93,39.10,10,
212B,7M,Back Flying 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0,
212B,10M,Back Flying 1 Somersault Pike,1.90,0.00,0.00,0,34.62,44.65,15,
212C,1M,Back Flying 1 Somersault Tuck,1.60,21.60,28.80,2,23.08,29.60,13,
212C,3M,Back Flying 1 Somersault Tuck,1.70,18.56,24.65,6,25.38,37.20,21,
212C,5M,Back Flying 1 Somersault Tuck,1.60,31.60,33.60,2,27.90,33.60,8,
212C,7M,Back Flying 1 Somersault Tuck,1.70,34.85,34.85,1,34.00,34.85,2,
212C,10M,Back Flying 1 Somersault Tuck,1.80,40.28,45.00,4,35.94,45.00,14,
